PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
224393526,20065492,26,2020-04-05T16:44:00,"50 Block S 11th St Pittsburgh, PA 15203",N,South Side Flats,3,CRIMINAL TRESPASS,3503 Criminal Trespass,1702,,,0,0
224393908,20065468,6,2020-04-05T16:40:00,"6700 Block Thomas Blvd Pittsburgh, PA 15208",N,Point Breeze North,4,THEFT FROM AUTO,3934 Theft from Vehicle,1405,9,2,-79.91138921,40.45462963
224406936,20065793,6,2020-03-31T12:05:00,"Woodlow St & Steuben St Pittsburgh, PA 15205",N,Crafton Heights,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2814,2,5,-80.05403906,40.44354972
224413652,20065819,14,2020-04-05T09:40:00,"7000 Block Frankstown Ave Pittsburgh, PA 15208",N,Homewood North,5,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1301,9,2,-79.90108761,40.45848182
224415165,20065850,26,2020-04-05T12:00:00,"700 Block Ivory Ave Pittsburgh, PA 15214",N,Perry North,1,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(4) Harassment Communicates Prohibited Acts,2602,1,1,-80.00509721,40.49539241
224417029,20065863,99,2020-04-06T10:58:00,"500 Block Junilla St Pittsburgh, PA 15219",Y,Middle Hill,2,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),501,6,3,-79.9707368,40.44630677
224417155,20065955,99,2020-04-06T13:46:00,"Heinz St & Saw Mill Way Pittsburgh, PA 15212",N,Troy Hill,1,FOUND PROPERTY,9489 Found Property,2406,1,1,-79.99106349,40.45396485
-3452000697,20066044,0,2020-04-06T16:45:00,"5300 Block Darlington Rd Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9992 Governor's Order Violation,1413,5,3,-79.93402795,40.43768716
224430149,20066172,10,2020-04-06T20:44:00,"400 Block Mc Manus St Pittsburgh, PA 15210",Y,Mount Oliver,3,HARRASSMENT,2709(a) Harassment.,1607,3,0,-79.98110095,40.40990076
224431117,20066228,10,2020-04-06T22:45:00,"7200 Block Tioga St Pittsburgh, PA 15208",N,Homewood South,5,HARRASSMENT,2709(a) Harassment.,1303,,,0,0
223761953,20056816,0,2020-03-22T18:34:00,"1000 Block Steuben St Pittsburgh, PA 15220",N,Elliott,6,99,9999 9999 - (Misc. Incident): ,2020,,,0,0
223762928,20056883,29,2020-03-22T21:00:00,"2200 Block Somers Dr Pittsburgh, PA 15219",N,Bedford Dwellings,2,RUNAWAYS - JUVENILE,029 Missing Juvenile,509,6,3,-79.97558894,40.44942565
223763360,20056913,14,2020-03-22T21:47:00,"1500 Block Kenberma Ave Pittsburgh, PA 15216",N,Beechview,6,CRIM MISCHIEF,3304 Criminal Mischief.,1916,4,5,-80.02190531,40.41099825
223834602,20057400,0,2020-03-23T17:25:00,"1900 Block Lowrie St Pittsburgh, PA 15212",Y,Troy Hill,1,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment,2406,1,1,-79.98119758,40.46574086
-3253007727,20057711,99,2020-03-24T04:08:00,"1800 Block Harcum Way Pittsburgh, PA 15203",Y,South Side Flats,3,NOISE COMPLAINT - CITATION,9132 Noise Complaint - Citation / 601.04 (c) (1) Residential 0700-2200  >65dB(A) 2200-0700 >60dB(A),1702,,,0,0
224612977,20068946,10,2020-04-11T13:40:00,"7000 Block Hermitage St Pittsburgh, PA 15208",Y,Homewood North,5,HARRASSMENT,2709(a) Harassment.,1301,9,2,-79.89999465,40.46127855
224623156,20069656,0,2020-04-12T20:49:00,"600 Block Liberty Ave Pittsburgh, PA 15222",Y,Central Business District,2,99,3714 Careless Driving,201,6,6,-80.00162376,40.44178095
224628313,20069787,0,2020-04-13T04:06:00,"1700 Block Crestline St Pittsburgh, PA 15221",N,East Hills,5,99,607.03 Discharging Firearm or Airgun,1306,9,2,-79.8765678,40.44980652
-3293005723,20069473,99,2020-04-12T13:31:00,"600 Block Avery St Pittsburgh, PA 15212",N,East Allegheny,1,FOUND PROPERTY,9489 Found Property,2304,7,2,-79.93598828,40.48988362
224575211,20068400,0,2020-04-10T14:31:00,"Madison Ave & East Ohio St Pittsburgh, PA 15212",Y,East Allegheny,1,99,3714 Careless Driving,2304,1,1,-79.99682012,40.45416414
224577000,20068479,26,2020-04-10T17:30:00,"700 Block Clarissa St Pittsburgh, PA 15219",N,Upper Hill,2,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,506,6,3,-79.96150395,40.45417977
224583634,20068682,10,2020-04-11T01:00:00,"Penn Ave & 14th St Pittsburgh, PA 15222",Y,Strip District,2,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person. / 13(a)(16) Possession of Controlled Substance / 607.03 Discharging Firearm or Airgun,203,7,6,-79.98984492,40.44736199
-3296004353,20068859,27,2020-04-09T11:59:00,"300 Block Mc Kee Pl Pittsburgh, PA 15213",N,Central Oakland,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,405,3,3,-79.95770639,40.43837209
224595063,20068970,0,2020-04-11T14:55:00,"2000 Block 5th Ave Pittsburgh, PA 15219",N,West Oakland,4,99,9999 9999 - (Misc. Incident): ,402,6,3,-79.97753291,40.43801069
224352963,20064426,10,2020-04-03T00:01:00,"3200 Block Dobson St Pittsburgh, PA 15219",N,Polish Hill,2,HARRASSMENT,2709 Harassment (Non-Specific),605,7,6,-79.9655872,40.45755635
224353739,20064457,11,2020-04-03T15:00:00,"1600 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,THEFT BY DECEPTION,3922 Theft by Deception.,305,,,0,0
224354693,20064475,6,2020-04-03T18:45:00,"1400 Block Methyl St Pittsburgh, PA 15216",N,Beechview,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,1916,4,5,-80.02602541,40.41422135
224362596,20064586,0,2020-04-04T02:00:00,"800 Block Crucible St Pittsburgh, PA 15220",N,Elliott,6,99,9997 Overdose Death,2020,2,5,-80.03983034,40.44195966
224367806,20064734,10,2020-04-04T11:25:00,"7300 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,SIMPLE ASSAULT,2701 Simple Assault. / 2706 Terroristic Threats. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1303,9,2,-79.89483711,40.45503484
224373381,20056657,10,2020-04-04T15:34:00,"800 Block Excelsior St Pittsburgh, PA 15210",Y,Allentown,3,TERRORISTIC THREATS,2706 Terroristic Threats.,1803,3,5,-79.99372339,40.42278859
224379274,20064905,0,2020-04-04T18:44:00,"300 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,99,9992 Governor's Order Violation,201,6,6,-80.00626004,40.4405702
224384949,20065237,0,2020-04-05T06:00:00,"100 Block HAMBURG St Pittsburgh, PA 15220",Y,Ridgemont,6,99,9998 Overdose Other,2016,,,0,0
224390965,20065388,99,2020-04-05T13:40:00,"600 Block Commonwealth Pl & E Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,FOUND PROPERTY,9489 Found Property,201,,,0,0
224406550,20065385,6,2020-04-05T14:12:00,"2500 Block Park Hill Dr Pittsburgh, PA 15221",N,East Hills,5,THEFT FROM AUTO,3934 Theft from Vehicle,1306,9,2,-79.87322715,40.456114
224431216,20066231,6,2020-04-06T18:00:00,"2400 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,509,6,3,-79.974274,40.44961434
224432265,20066298,10,2020-04-07T02:33:00,"Pressley St & Cedar Ave Pittsburgh, PA 15212",N,East Allegheny,1,SIMPLE ASSAULT,2701 Simple Assault.,2304,1,1,-80.00114903,40.45162501
-3354005269,20066423,0,2020-04-07T09:45:00,"6500 Block Wilkins Ave Pittsburgh, PA 15217",N,Point Breeze,4,99,9999 9999 - (Misc. Incident): ,1404,,,0,0
-3455002810,20066528,99,2020-04-07T14:00:00,"20 Block Wheeling St Pittsburgh, PA 15207",Y,Hays,4,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),3101,5,3,-79.93181771,40.38247405
224466524,20066533,23,2020-04-07T13:30:00,"Brownell St & S Graham St Pittsburgh, PA 15232",N,Shadyside,4,PUBLIC DRUNKENESS,5505 Public Drunkenness / 627.02(b)(i) Possessing a small amount of marijuana,709,8,2,-79.93524553,40.45448447
224478192,20066697,99,2020-04-07T19:00:00,"1600 Block Lowrie St Pittsburgh, PA 15212",N,Troy Hill,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2406,1,1,-79.98356218,40.4627513
223887867,20058011,10,2020-03-24T16:45:00,"2500 Block Brownsville Rd Pittsburgh, PA 15210",Y,Carrick,3,SIMPLE ASSAULT,2701 Simple Assault. / 3304 Criminal Mischief.,2904,4,3,-79.98115114,40.38669249
223893456,20058109,4,2020-03-24T19:33:00,"3200 Block Brighton Rd Pittsburgh, PA 15212",Y,Brighton Heights,1,AGG-ASSAULT,2702 Aggravated Assault.,2715,1,1,-80.03110812,40.47578918
223910980,20058374,99,2020-03-25T07:25:00,"1700 Block Belleau Dr Pittsburgh, PA 15212",N,Fineview,1,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,2509,6,1,-80.00698339,40.46031055
223950974,20057259,21,2020-03-23T12:30:00,"Market St & Forbes Ave Pittsburgh, PA 15222",Y,Central Business District,2,DUI - DRUG - IMPAIRED ABILITY,3802(d)(2) DUI - Drug - Impaired Ability / 3743 Accidents Involving Damage to Attended Veh. or Property / 1543 Driving While Operating Privilege is Suspended or Revoked.,201,6,6,-80.00296113,40.44079836
223968375,20058639,0,2020-03-25T16:00:00,"1400 Block Rockland Ave Pittsburgh, PA 15216",N,Beechview,6,99,9999 9999 - (Misc. Incident): ,1916,4,5,-80.02038649,40.41299316
223969245,20058632,6,2020-03-25T16:24:00,"500 Block Penn Ave Pittsburgh, PA 15222",N,Central Business District,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,201,7,2,-79.94358209,40.46489336
223971077,20058732,10,2020-03-25T18:30:00,"5100 Block Carnegie St Pittsburgh, PA 15201",Y,Upper Lawrenceville,2,HARRASSMENT,2709(a) Harassment.,1011,7,2,-79.95465315,40.47784547
223718806,20055804,6,2020-03-20T23:00:00,"Wheeler St & Conemaugh St Pittsburgh, PA 15221",N,East Hills,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1306,9,2,-79.88455591,40.45474387
224090241,20060366,13,2020-03-28T04:31:00,"4600 Block Mt Troy Rd Pittsburgh, PA 15214",Y,Summer Hill,1,RECEIVING STOLEN PROPERTY,"3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License. / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",2612,,,0,0
224430224,20066158,10,2020-04-06T20:18:00,"900 Block Brookline Blvd Pittsburgh, PA 15226",Y,Brookline,6,SIMPLE ASSAULT,2701 Simple Assault.,1918,4,5,-80.01918981,40.39287944
223977896,20058861,99,2020-03-25T21:58:00,"200 Block Spencer Ave Pittsburgh, PA 15227",Y,Carrick,3,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2904,,,0,0
224100189,20060237,14,2020-03-27T23:30:00,"1500 Block 5th Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,CRIM MISCHIEF,3304 Criminal Mischief.,305,6,3,-79.98502509,40.4385396
224043275,20059637,0,2020-03-27T01:12:00,"2500 Block Mission St Pittsburgh, PA 15203",N,South Side Slopes,3,99,9998 Overdose Other,1608,3,3,-79.97206593,40.42282639
224043015,20059598,99,2020-03-26T22:58:00,"3000 Block Allendale St Pittsburgh, PA 15204",Y,Sheraden,6,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2022,,,0,0
224044067,20059645,99,2020-03-27T01:01:00,"3400 Block Fleming Ave Pittsburgh, PA 15212",N,Brighton Heights,1,MENTAL 201/302,9498 302 (Mental),2703,1,1,-80.03822695,40.477
224046093,20059695,4,2020-03-27T02:56:00,"Mayfield Ave & Marshall Ave Pittsburgh, PA 15214",N,Perry South,1,AGG-ASSAULT,2702 Aggravated Assault. / 3112 Traffic-Control Signals. / 3308 One-Way Roadways and Rotary Traffic Islands. / 3323 Stop Signs and Yield Signs. / 3362 Maximum Speed Limits. / 3111 Obedience to Traffic-Control Devices. / 3323 Stop Signs and Yield Signs. / 3334 Turning Movements and Required Signals. / 3361  Driving Vehicle at Safe Speed. / 3736 Reckless Driving / 3733 Fleeing or Attempting to Elude Police Officer,2615,6,1,-80.01558498,40.47336634
223989172,20057306,27,2020-03-23T13:35:00,"5500 Block Bryant St Pittsburgh, PA 15206",N,Highland Park,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1102,7,2,-79.92606736,40.47784497
224013228,20059174,10,2020-03-26T12:16:00,"3200 Block Brighton Rd Pittsburgh, PA 15212",N,Marshall-Shadeland,1,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace ,2715,1,1,-80.03110812,40.47578918
224079503,20059976,6,2020-03-27T15:00:00,"1400 Block Boyle St Pittsburgh, PA 15212",N,Central North Side,1,THEFT FROM AUTO,3934 Theft from Vehicle,2206,6,1,-80.00621397,40.45759044
224081582,20059997,10,2020-03-26T14:00:00,"5800 Block Kentucky Ave Pittsburgh, PA 15232",N,Shadyside,4,HARRASSMENT,2709 Harassment (Non-Specific),706,8,2,-79.9278715,40.45121635
224094200,20060442,10,2020-03-28T10:43:00,"7200 Block Frankstown Ave Pittsburgh, PA 15208",Y,Homewood South,5,TERRORISTIC THREATS,2706 Terroristic Threats.,1303,9,2,-79.8962698,40.45738892
224136986,20061479,6,2020-03-29T23:53:00,"600 Block Danbury St Pittsburgh, PA 15214",N,Perry South,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2615,,,0,0
224139846,20061602,6,2020-03-30T04:30:00,"5700 Block Centre Ave Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1115,8,2,-79.93346174,40.45701579
224147463,20061652,14,2020-03-24T21:15:00,"5500 Block Columbo St Pittsburgh, PA 15206",N,Garfield,5,CRIM MISCHIEF,3304 Criminal Mischief.,1114,9,2,-79.93167064,40.46861414
-3293005715,20062164,99,2020-03-31T07:08:00,"300 Block Chester Ave Pittsburgh, PA 15214",N,Perry South,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2614,6,1,-80.01370502,40.46749224
224212623,20061951,0,2020-03-31T17:39:00,"100 Block Stewart Ave Pittsburgh, PA 15227",Y,Carrick,3,99,9993 PFA Service with Weapons Supplement,2904,4,3,-79.97946611,40.38248955
224212808,20062473,6,2020-03-31T17:47:00,"1400 Block N Murtland Ave Pittsburgh, PA 15208",N,Homewood West,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1207,9,2,-79.8995295,40.46256947
224214263,20062499,6,2020-03-31T18:23:00,"7400 Block Tioga St Pittsburgh, PA 15208",N,Homewood South,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1303,9,2,-79.89474536,40.45312519
224221917,20062708,0,2020-04-01T03:44:00,"2600 Block Mackinaw Ave Pittsburgh, PA 15216",Y,Beechview,6,99,9998 Overdose Other,1920,,,0,0
224230441,20062742,5,2020-04-01T06:04:00,"7200 Block Frankstown Ave Pittsburgh, PA 15208",N,Homewood North,5,BURGLARY,3502 Burglary. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1302,9,2,-79.8962698,40.45738892
224281441,20063228,29,2020-04-01T22:30:00,"300 Block Walter St Pittsburgh, PA 15210",N,Allentown,3,RUNAWAYS - JUVENILE,029 Missing Juvenile,1803,3,5,-79.99492327,40.41989067
224319644,20063808,14,2020-04-02T13:25:00,"3100 Block Landis St Pittsburgh, PA 15204",N,Sheraden,6,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,2018,2,5,-80.05560026,40.45648156
-3004003101,20063931,99,2020-03-29T12:00:00,"100 Block Mount Vernon  Dr Mckeesport, PA 15135",N,Bluff,OSC,LOST PROPERTY,9504 Lost Property,103,,,0,0
224322614,20063919,10,2020-04-02T23:29:00,"1200 Block Dagmar Ave Pittsburgh, PA 15216",Y,Beechview,6,TERRORISTIC THREATS,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats.,1916,4,5,-80.02344572,40.41677203
223690990,20055244,10,2020-03-20T03:53:00,"3800 Block Beechwood Blvd Pittsburgh, PA 15217",Y,Greenfield,4,RECKLESSLY ENDANGER ANOTH PER,2706 Terroristic Threats. / 2705 Recklessly Endangering Another Person. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1517,5,3,-79.93013082,40.42825642
223709369,20055465,24,2020-03-20T13:12:00,"900 Block Oranmore St Pittsburgh, PA 15201",Y,Stanton Heights,5,DISORDERLY CONDUCT,5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,1005,9,2,-79.93746473,40.47526115
223712194,20055534,10,2020-03-20T15:32:00,"500 Block Seagirt St Pittsburgh, PA 15221",Y,East Hills,5,SIMPLE ASSAULT,2701 Simple Assault. / 13(a)(31) Marijuana: Possession Small Amount,1306,9,2,-79.87857777,40.44991963
223716516,20055753,99,2020-03-20T21:06:00,"5500 Block Hobart St Pittsburgh, PA 15217",Y,Squirrel Hill South,4,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,1413,5,3,-79.9302534,40.43199318
223690058,20055285,99,2020-03-20T08:07:00,"3800 Block Bigelow Blvd Pittsburgh, PA 15213",N,North Oakland,4,CHECK ON ELDERLY PERSON,9016 Check on Elderly Person / 9999 9999 - (Misc. Incident): EMS forced entry to provide medical assistance,507,6,3,-79.9550754,40.45683362
223690972,20055302,5,2020-03-20T08:00:00,"400 Block Eureka St Pittsburgh, PA 15211",N,Mount Washington,3,BURGLARY,3502 Burglary.,1807,3,5,-80.00091341,40.42376469
-3394032991,20055322,14,2020-03-20T09:34:00,"5500 Block Gate Lodge Way Pittsburgh, PA 15207",N,Hazelwood,4,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1515,5,3,-79.93924632,40.40144759
223705950,20055402,99,2020-03-20T11:41:00,"4800 Block Lima Way Pittsburgh, PA 15224",N,Bloomfield,5,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,804,7,2,-79.94799787,40.45879793
223698124,20055327,10,2020-03-20T10:26:00,"5800 Block Hobart St Pittsburgh, PA 15217",Y,Squirrel Hill South,4,SIMPLE ASSAULT,2701 Simple Assault.,1408,5,3,-79.92291955,40.43373393
223703795,20055365,3,2020-03-20T10:40:00,"Tito Way & Exchange Way Pittsburgh, PA 15222",N,Central Business District,2,ROBBERY,"3701 Robbery. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",201,6,6,-79.99915502,40.44310971
224349358,20064319,10,2020-04-03T16:24:00,"Penn Ave & N Dallas Ave Pittsburgh, PA 15208",Y,Point Breeze,4,RESIST ARREST/OTHER LAW ENFORC,"5104 Resisting Arrest or Other Law Enforcement. / 6308 Investigation by Police Officers / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 5101 Obstructing Admin. of Law  / 3113 Pedestrian-Control Signals. / 3542 Right-Of-Way of Pedestrians in Crosswalks. / 5507(a) Obstructing highway, railroad or public passage",1404,8,3,-79.90819456,40.45149457
224355131,20064442,99,2020-04-03T19:19:00,"2800 Block Brighton Rd Pittsburgh, PA 15212",N,Marshall-Shadeland,1,AIDED CASE,9497 Aided Case,2715,1,1,-80.01742357,40.47250475
224358383,20064536,3,2020-04-03T23:15:00,"500 Block Mountain Ave Pittsburgh, PA 15210",N,St. Clair,3,ROBBERY,3701 Robbery.,1606,,,0,0
224386876,20065228,99,2020-04-05T05:36:00,"2100 Block Mazette Pl Pittsburgh, PA 15205",N,Fairywood,6,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic / 9498 302 (Mental),2808,,,0,0
224391015,20065369,6,2020-04-05T11:00:00,"5800 Block Northumberland St Pittsburgh, PA 15217",N,Squirrel Hill North,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,1403,8,3,-79.92333664,40.441423
223704367,20055442,29,2020-03-20T12:40:00,"200 Block S Euclid Ave Pittsburgh, PA 15206",N,East Liberty,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1115,9,2,-79.92888814,40.46078263
223704341,20055244,10,2020-03-20T03:53:00,"2600 Block Connecticut Ave Pittsburgh, PA 15216",Y,Greenfield,4,RECKLESSLY ENDANGER ANOTH PER,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats. / 2705 Recklessly Endangering Another Person. / 9501 Bench Warrant,1517,,,0,0
223705635,20054460,10,2020-03-20T13:30:00,"3100 Block Banksville Rd Pittsburgh, PA 15216",Y,Banksville,6,HARRASSMENT,2709(a) Harassment.,2023,2,5,-80.04345424,40.40107725
223725440,20055983,0,2020-03-21T08:44:00,"2300 Block Gershon St Pittsburgh, PA 15214",N,Spring Hill-City View,1,99,9999 9999 - (Misc. Incident): ,2620,,,0,0
223768767,20057111,6,2020-03-23T04:31:00,"1700 Block Murray Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",1413,5,3,-79.9231547,40.43792491
223812868,20057249,6,2020-03-23T12:15:00,"7600 Block Penn Ave Pittsburgh, PA 15221",N,Point Breeze North,4,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 903 Criminal Conspiracy.",1405,9,3,-79.89513557,40.44712288
223834028,20057421,0,2020-03-23T18:30:00,"100 Block Blackmore St Pittsburgh, PA 15217",N,Swisshelm Park,4,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): ,1411,,,0,0
223707384,20055510,0,2020-03-20T04:00:00,"6300 Block Douglas St Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,3503(b)(1)(iii) Defiant Trespass - Fencing or Other Enclosure,1408,5,3,-79.91851127,40.43352846
223709865,20055550,6,2020-03-20T07:30:00,"2600 Block Middletown Rd Pittsburgh, PA 15205",N,Crafton Heights,6,THEFT FROM AUTO,3934 Theft from Vehicle,2814,2,5,-80.05858162,40.44499926
223712830,20055626,27,2020-03-20T17:20:00,"1700 Block Lowrie St Pittsburgh, PA 15212",N,Troy Hill,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2406,1,1,-79.98265681,40.46395253
223713522,20055574,27,2020-03-20T16:32:00,"600 Block Johnston Ave Pittsburgh, PA 15207",N,Glen Hazel,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1504,5,3,-79.93495595,40.40487387
223713924,20055665,0,2020-03-20T15:00:00,"1600 Block Seaton St Pittsburgh, PA 15226",N,Brookline,6,99,9999 9999 - (Misc. Incident): ,1918,4,5,-80.00929067,40.38879954
223714613,20055709,27,2020-03-20T15:00:00,"200 Block Alice St Pittsburgh, PA 15210",N,Knoxville,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,3001,,,0,0
223714758,20055710,27,2020-03-20T16:15:00,"2000 Block Wharton St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.97643264,40.43034081
223715199,20055722,6,2020-03-20T16:30:00,"600 Block Herron Ave Pittsburgh, PA 15219",N,Upper Hill,2,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",506,6,3,-79.96495495,40.4509347
223759496,20056705,10,2020-03-22T14:25:00,"900 Block Liberty Ave Pittsburgh, AZ 15222",Y,Central Business District,2,TERRORISTIC THREATS,2706 Terroristic Threats. / 5104 Resisting Arrest or Other Law Enforcement. / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,201,6,6,-79.99793948,40.44294531
223761907,20056817,0,2020-03-22T19:07:00,"2400 Block Saw Mill Run Blvd Pittsburgh, PA 15210",N,Overbrook,3,99,9998 Overdose Other,3204,4,5,-79.99515151,40.38516568
223762256,20056837,10,2020-03-22T19:15:00,"300 Block Elmore St Pittsburgh, PA 15219",Y,Terrace Village,2,SIMPLE ASSAULT,2701 Simple Assault.,511,,,0,0
224409433,20065823,10,2020-04-06T07:20:00,"500 Block Tripoli St Pittsburgh, PA 15212",Y,East Allegheny,1,HARRASSMENT,2709(a) Harassment.,2304,1,1,-80.00094025,40.45625795
224411252,20065784,99,2020-04-06T07:18:00,"2900 Block Sussex Ave Pittsburgh, PA ",N,Brookline,6,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1918,4,5,-80.01725981,40.38708596
224415742,20065885,0,2020-04-06T11:50:00,"Sandusky St N & Parkhurst St Pittsburgh, PA 15212",N,Central North Side,1,99,9998 Overdose Other,2206,1,1,-80.00491143,40.4570249
224427735,20066057,99,2020-04-06T18:00:00,"6600 Block Frankstown Ave Pittsburgh, PA 15206",Y,Larimer,5,MENTAL 201/302,9498 302 (Mental),1208,9,2,-79.91088487,40.45922841
224454911,20066436,10,2020-04-07T09:42:00,"2500 Block Sarah St Pittsburgh, PA 15203",N,South Side Flats,3,HARRASSMENT,2709 Harassment (Non-Specific),1609,3,3,-79.97013852,40.42679073
224475879,20066703,11,2020-03-23T13:00:00,"Murray Ave & Loretta St Pittsburgh, PA 15217",N,Greenfield,4,CREDIT CARDS,4106 Access Device Fraud,1517,5,3,-79.92883816,40.42193461
224482620,20066880,14,2020-04-08T01:50:00,"400 Block Smithfield St Pittsburgh, PA 15222",Y,Central Business District,2,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 4914(A) False Identification to Law Enforcement,201,6,6,-79.99932299,40.43878699
223714546,20055606,27,2020-03-20T17:11:00,"Frankstown Rd & Woods Rd Pittsburgh, PA 15221",N,Homewood North,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3324 Vehicle Entering or Crossing Roadway. / 3744 Duty to Give Information and Render Aid,1301,,,0,0
223717468,20055749,4,2020-03-20T20:48:00,"50 Block Ruth St Pittsburgh, PA 15211",Y,Mount Washington,3,AGG-ASSAULT,2702 Aggravated Assault. / 3502 Burglary. / 5104 Resisting Arrest or Other Law Enforcement. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1915,2,5,-80.00526626,40.42524911
223723076,20055972,6,2020-03-21T06:00:00,"600 Block Pressley St Pittsburgh, PA 15212",N,East Allegheny,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2304,1,1,-79.99867967,40.45221882
