PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
224681382,20070453,0,2020-04-14T03:40:00,"4500 Block Centre Ave Pittsburgh, PA 15213",N,North Oakland,4,99,9999 9999 - (Misc. Incident): Property Report due to Accidental Discharge of Firearm,507,8,3,-79.95304405,40.45139849
224682235,20070438,0,2020-04-14T09:30:00,"Smallman St & 16th St Pittsburgh, PA 15222",Y,Strip District,2,99,9094 Recovered Stolen Vehicle (OUTSIDE CITY),203,,,0,0
-3254002484,20070405,26,2020-04-14T07:00:00,"2700 Block Webster Ave Pittsburgh, PA 15219",Y,Crawford-Roberts,2,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,305,6,3,-79.96973066,40.45082205
224683848,20070467,26,2020-04-14T10:00:00,"100 Block Walter St Pittsburgh, PA 15210",N,Allentown,3,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(4) Harassment Communicates Prohibited Acts,1803,3,5,-79.99479357,40.42176977
-3308034912,20065970,14,2020-04-06T14:25:00,"800 Block Montooth St Pittsburgh, PA 15210",Y,Beltzhoover,3,CRIM MISCHIEF,3304 Criminal Mischief.,1809,3,5,-80.00585343,40.41556393
224425397,20066037,10,2020-04-06T16:25:00,"1400 Block W North Ave Pittsburgh, PA 15233",N,Manchester,1,RECKLESSLY ENDANGER ANOTH PER,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2705 Recklessly Endangering Another Person. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,2107,6,1,-80.02576793,40.45221526
224478636,20066746,10,2020-04-07T21:10:00,"600 Block Tarragonna St Pittsburgh, PA 15210",Y,Bon Air,3,HARRASSMENT,5104 Resisting Arrest or Other Law Enforcement. / 2709 Harassment (Non-Specific) / 5121 Escape. / 2709(b) Stalking,1806,,,0,0
224563469,20068280,10,2020-04-10T09:20:00,"10 Block Pride St Pittsburgh, PA 15219",Y,Bluff,2,TERRORISTIC THREATS,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats.,103,,,0,0
224565296,20068314,0,2020-04-10T11:04:00,"1900 Block Pioneer Ave Pittsburgh, PA 15226",Y,Brookline,6,99,"601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property",1917,4,5,-80.01605859,40.40403749
224582277,20068593,10,2020-04-10T20:43:00,"1000 Block Washington Blvd Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person. / 2705 Recklessly Endangering Another Person. / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 3334 Turning Movements and Required Signals. / 1543 Driving While Operating Privilege is Suspended or Revoked.,1203,9,2,-79.90560241,40.4626456
